,text_clean,label
40,kampung daun tempat makan satu konsep alam budaya daerah tempat walaupun dalam kompleks rumah tetapi tempat sebut cukup luas punya mungkin 20 lebih saung tempat makan yang kapasitas sedang hingga besar kualitas makan enak dengan nya suara riak air air terjun kecil sana buat suasana sangat nyaman makan,positive
41,waktu sini pesan nasi goreng kentang goreng nasi goreng semua suka kentang goreng enak banget presentasi bagus keluarga bilang kopi enak yang sangat baik sini tempat luas yang luar lihat pandang dusun bambu layan cepat tanya beberapa kali pesan saya harga cukup mahal karena makan enak semua jadi bayar tidak perlu pikir kali mau ke tempat lagi,positive
42,banyak sekali tempat makan sunda tebar kota bandung tidak tahu saya sangat jatuh hati buah warung makan ibu imas ada dekat alun alun kota bandung suguh rumah makan sunda karakter warung nasi zaman mana bisa ambil semua hidang depan tanpa lalu proses order yang biasa jumpa warung makan,positive
43,hai bantu input tidak resi jne nomor resi pakai,neutral
44,foods menu baru cheeseburger oke banget chicken sayap pizza hari ulang tahun memang selalu juara rilis mixing green tea yakult perfect satu satu kurang pizza hari ulang tahun pinggir,positive
45,dusun bambu golong baru bandung tempat dekat banget sama almamater buat gampang cari tempat pandang bagus banyak tempat makan yang enak enak beli nanti pakai kupon,positive
46,muas,negative
47,suruh mengaca main dasar oneng berbicara masih ala betawi kamu kampung,negative
48,kafe saji sensasi makan gelap cukup unik sih lebih sekali rasa orang jarang datang hanya tarik sekadar coba,negative
49,sesuai nama mi awie kedai makan sedia menu mi olah daging babi mi ada pilih seperti nasi goreng babi capjay goreng bakso pangsit lain coba menu mi babi casau spesial rasa enak banget,positive
50,mardani ali sera menang sosial media selalu menang dunia nyata,neutral
51,akhir tempat beberapa tahun lalu masih upa kafe sekaramg jadi inap boutique hotel travel bareng anak anak suka inap sini playground yang seru swimming pool high rope flying fox kalau inap tiket gratis petik stroberi perlu pesan suka ramai inap sini banyak pilih kamar enak,positive
52,selamat pagi wah kecewa berat masa indihome internet kocek saya bayar mahal jangan kecewa bagai langgan,negative
53,pokok kurang kurang afdal kalau lembang bandung mampir ke sini 4 humas naik buat kampung daun,positive
54,kentaki fried chicken bandung supermall fasilitas lengkap luas jarang temu dikfc keramahtamaan karyawan juga sangat bagus,positive
55,restoran sapu lidi milik uni sendiri serasa makan tengah sawah dikelilingin kolam ikan juga nuansa sawah menu seperti makan sunda tapi satu menu favorit jamur bakar enak banget,positive
56,semua enak mi abu abu mi black tahu cocol sayap ayam mantap buat makan camil di sini,positive
57,negara kesatuan republik indonesia bersyariah front pembela islam revolusi akhlaq suara adil laugh semua sandung kasus front pembela islam ulama sandung obrol mesum berani pulang negara kesatuan republik indonesia bersyariah arti amal pancasila sungguh miris,negative
58,bikin macet nih orang,negative
59,singapura selidik jual prt indonesia situs daring,neutral
60,pergi raya ulang tahun tempat sangat kesan dengan istri pilih tempat menu makan variatif makan barat lokal sedia baju hangat dingin sangat sini,positive
61,kapan akan pilih orang kecut prabowo turut saya dia pantas pimpin negara,negative
62,jangan terlalu banyak iklan baik dulu jaring kalian lamban,negative
63,kalau orang tiongkok masuk indonesia baru maju kalau andal orang pribumi otak jongkok,negative
64,cepat respon kirim kilat ramah akhir putar putar toko yang jelas temu toko juragan yang layan sangat muas tangkap sangat juragan,positive
65,sok citra sekali basi sama gaya kamu lebih wibawa seragam coklat top deh buat pak anies,negative
66,sini beberapa tahun lalu sama teman teman suasana sangat senang pandang bagus hawa dingin segar lebih baik datang sini malam hari steak enak,positive
67,debut empat bagus bikin suka sekali tonight saranghajima mengerti apa aku atau lain rasa winner abang bigbang yang kalau nyanyi jiwa ikut nyanyi bagus banget makin cinta mereka tahu sifat sikap saya,positive
68,sangat lelah malam,negative
69,marah,negative
70,dong aku pilih susilo bambang yudhoyono eh pilih prabowo maksude datang aku pilih selain jokowi biasa yang selain partai banteng moncong tepung grinningfacewithsmilingeyes,negative
71,puas servis ramah harga banding layan rasa pandang keren banget cocok buat acara berkumpul bareng teman keluarga pokok rekomendasi sekali sesal deh pokok harus sini saya layan feriyana yang super ramah baik pokok buat teman teman the 18th recommened sekali,positive
72,pertama kali makan abuba steak luar jakarta rasa beda yang biasa nikmat abuba steak jakarta kurang enak suasana restoran oke toilet sudah tua sedikit baharu,negative
73,xl jaring jelek banget,negative
74,puas games mobile legend,positive
75,sama rekan kerja sengaja coba makan siang sambal khas karmila cab buah batu bandung tempat bilang cozzy cukup nyaman lantai atas sedang lantai dasar rasa lebih tempat makan makan cepat saji cukup penuh hiruk pikuk langgan rasa ayam bakar di sini sangat rekomendasi sama sambal mangga kait harga bilang relative,positive
76,kuah bakso terlalu asin turut masih enak jual keliling malang tempat bagus buat jamu teman di banyak lokasi selalu ramai bakso sedia capcay nasi goreng lain yang turut justru lebih enak,positive
77,bagai warga jakarta malu kang sama oknum tidak tanggung jawab mau sweeping bobotoh,negative
78,tenderloin steak juara tempat mudah akses maki sembunyi nyaman tema zaman tidak ramai layan biasa,positive
79,adalah salah satu restoran cina sudah sejak lama masakan kepiting favorit juara biasa pesan kepiting rebus babat toge cah kangkung,positive
80,cebong lama tuduh curi uang sedekah 30 sila urus sih aris wahyudi dia ambil komisi 20 transaksi lacur kedok agama berani bulat sih aris wahyudi atau kamu semua cuma berani sama jonru,negative
81,tarik pilihan kepala daerah jawa barat ada ridwan kamil pasang tokoh dc universe,positive
82,suasana kantor dewan pimpinan cabang kabupaten bogor jelang pidato awal tahun 2018,neutral
83,kalau djarum memang kuat baru rasa tidak bagus pas akhir bakar,negative
84,bakmi tasik beberapa teman mampir dan coba bakmi bakso makan biasa biasa tidak yang spesial,negative
85,lokasi pandan wangi benar jauh pusat kota bandung masih jangkau 15 menit jalan asia afrika patok jalan ada jalan talaga bodas sana tinggal cari papan tunjuk pandan wangi kami datang jam 1 siang nanti banyak orang banyak datang keluarga anak anak tunggu saji goreng ubi singkong lumayan enak,positive
86,pertama kali datang eatalia datang sama teman 1 orang anak memsungkan memlilih makan anak di sini sedia menu porsi anak mes cheese bacon deluxe pizza roti warna hitam seluruh menu saya pesan kecewa,positive
87,rasa lumayan sambal juga enak saji 3 macam model terus banyak pilih sih benar mau makan apa sini mau gurame mau kakap bawal kerang cumi udang macam macam deh asal jangan pesan ikan kembung tidak di sini,positive
88,lokasi salah satu tempat belanja rekreasi cihampelas wali bandung resto tidak kecewa saji cukup agam rasa resto bisa saji cukup enak nikmat sangat cocok santap dengan pasang keluarga,positive
89,zaman masih mbak mbak online shop tidak tahu aplikasi gojek gocar gosend allah bodoh sekali jual hari ulang tahun aku rasa,negative
90,restoran juga letak tempat stategis jalan dago tepat di belah hotel holiday inn sesuai judul restoran sedia bagai menu masakan aceh favorit adalah mi aceh harga standar tidak terlalu mahal jangan lupa coba roti canai,positive
91,bihun goreng enak meminta banyak minyak makan sini kandung babi jadi halal es teh tawar porsi besar muas,positive
92,lokasi tes jelas telepon angkat email cuma auto reply rekomendasi aku baru sadar something orang pas mampir kantor cerita pernah held tes hotel dan ruang belah kondangan they told that tanpa remorse,negative
93,sate kambing gulai kambing maknyus saji makannan juga sangat cepat tempat cukup bersih,positive
94,yue hotel di mongkok hongkong ada bulan juni lalu booked sudah bayar 2 kamar hotel temu,negative
95,poach salmon enak layan enak scenery mantap tank to amanda worth it banget deh kembali,positive
96,orang cina makan legendaris lama banget nih orang cina makan satu semua enak tidak enak cuma parkir saja aujubila susah parkir di seberang depan resto trotoar jadi sabar sekali sekali sedih deh,negative
97,makan restoran pizza paling enak sama teman nikmat paket sensasi delight harga sangat jangkau semua kalang,positive
98,hasil quick count pilihan gubernur kalimantan timur 2018 isran had unggul,neutral
99,kamu jerat buni yani undang undang informasi transaksi elektronik padahal jelas jelas video asal youtube unggah pemerintah provinsi sendiri nya kena undang undang informasi transaksi elektronik pemerintah provinsi bukan buni yani kan,negative
100,paket gim benar benar mantap megah makan sini jamin makin keren bravo,positive
101,dekat gubernur jauh jembatan penyebrangan gang makan sudah sejak zaman ibu rasa kuah lontong kari kental agak manis cocok tambah acar ada di meja porsi nya kenyang,positive
102,di tengah tengah jalan braga tempat lumayan enak nongkrong live musik makan pun lumayan,positive
103,bagai setia produk kecewa banget sama layan pusat servis asus tidak jujur sepele langgan,negative
104,tempat makan pasta sudah asing apa kalau bukan pizza hari ulang tahun posisi pizza tempat sangat nyaman inside mal outside mal hadap langsung jalan merdeka bisa manja mata sekadar lihat rutinitas orang orang keliling letak sangat strategis di lalu angkut umum,positive
105,tempat makan nengusung konsep to alam makan saung panjang jalan tuju saung akan suguh pandang indah suasana makan cukup nyaman layan cepat rasa enggan pulang harga relatif standart mahal kelas rasa makan benar standart suasana yang mantap,positive
106,beri cabai tidak pelit masak cepat banget rasa enak cuma kurang sayur tapi enak,positive
107,tadi penasaran tempat karena tempat banyak sekali foto foto kunjung artis tempat tapi pas pesan makan unggul tempat rasa setinggi pikir saya yang biasa dan keras jadi aneh saya tempat bisa kenal,negative
108,kang jalan muararajeun baru baru bulan benar rusak yang kerja tidak serius,negative
109,jangan pernah kecewa apa beri tuhan,positive
110,masakan jepang suka ada tidak dengan menu masakan yang satu karubi pas lidah keluarga dan tempat juga sedia tempat main anak anak harga makan resto agak tinggi sih enak sekali masakan,positive
111,tempat sih biasa tidak istimewa bahkan turut tempat jadi sedikit nilai minus nilai kali parkir tidak terlalu luas dekorasi ruang makan biasa tapi lagi kalau bicara soal makan untuk urus ini red dipo punya banyak nilai plus makan variasi rasa yang di atas rata rata,positive
112,makan kaki kambing paha empuk lumayam besar ukur medium pas satu orang makan nasi es lemon tea segar kurang hanya tempat asap wajar kan namanyanjg kambing bakar hehe,positive
113,bukti sunda memang gudang mode makan dapat jelas bagaimana enak bakmi parahiyangan pokok pasti tagih,positive
114,benar barang kw banyak bagus kualitas seringkali nih nyata pas lihat eh nyata barang memang bagus bahan,positive
115,lihat kader demokrat ribut pak hnw partai keadilan sejahtera karena demiz jadi calon jijik baca,negative
116,makan sini betul libur panjang merdeka 17 agustus perlu waktu 40 menit lebih antre sistem pesan lebih saat reservasi diizinkan padahal hemat waktu tempat salat di depan pintu masuk main seni main sangat dekat musola sangat menganggu ibadah satu paling takjub suasana alam yang satu,positive
117,tak usah menonton film bahasa jawa semua mengerti tidak punya teks jelek film tindak pantas tayang layar besar,negative
118,cha cha makan ringan enak tepat buat tani waktu tugas,positive
119,sih monyet bawah gue nama anonim kecut pakai simbol nya cuma kata orang memang hidup situ benar anjing nama saja tidak berani sebut malu mending apa takut,negative
120,sudah bosan janji janji kalian,negative
121,tempat cocok relax keluarga layan bagus makan enak yang pandang pandang mantap,positive
122,fadli zon anjing kamu usah kamu sok polos,negative
123,paling enak sini tuna mayo pizza yang pinggir pakai cheesy bites harga cukup murah layan cukup baik tempat strategis,positive
124,sulit sekali mengerti orang rasa selalu benar,negative
125,bagaimana romantis udara dingin suasana tenang makan lezat nikmat indah kota bandung sangat romantis sekali,positive
126,nanda mulai kerja dhl indonesia bulan depan,neutral
127,omong pak anies suka balik kalau percaya terus terus gila,negative
128,datang pasang libur tempat sangat asri sejuk pandang sangat tarik makan terlalu mahal gugah selera,positive
129,rasa enak banget wajib coba buat cinta ayam bakar harga padan lebih enak kalau makan bareng bareng sama keluarga cinta tempat makan enak,positive
130,rakyat adalah panik biasa hampir 4 tahun belakang di kibuli terus istana panik segala jurus tipu keluar tidak mempan rakyat sudah pintar huni kolam butek yang masih senang umpan tipu tipu hap hap hap,negative
131,alhamdulillah warga batas rasa buah bangun yang lama nikmat tunggu 72 tahun merdeka sekarang 73 tahun rasa terima kasih pak jokowi awal memang pernah benci pak jokowi justru salut sama beliau,positive
132,lokasi daerah ciumbuleuit pencil kafe sudah cukup lama tadi upa halaman rumah sulap jadi tempat makan buka taman sederhana sunyi buat yang nongkrong cafe ribut hiruk pikuk terlalu banyak orang di sini tempat makan cukup oke bisa sama lama,positive
133,marah indosat,negative
134,kampung bareto letak datar tinggi bandung utara saji makan indonesia makan barat saung leseh meja makan temu keluarga arisan makan sama teman jumlah banyak cocok jamu tamu santa tiap malam minggu saji musik live sedia juga kolam ikan untuk pancing harga makan bawah 100k id suasana tenang layan sangat baik,positive
135,yusri maling kepala maling belakang ayo jabat jakarta pergi kartu tanda penduduk daerah khusus ibukota rakyat miskin sudah bantu pajak orang orang beruang kok gaya,negative
136,senang sekali kunjung ayam penyet bu tris banyak menu sedia pada itu hanya coba makan sate sungguh nikmat romantis sekali makan tani alun live musik,positive
137,pertama kali makan sini cara sengaja lihat antre orang depan restauran rasa enak porsi kenyang harga jangkau kalau terlalu lapar baik pesan 1 2 porsi,positive
138,nasi goreng hijau tren botti enak lain oke oke jus lumayan segar tempat lumayan buat berkumpul berkumpul sama keluarga,positive
139,kalau turut ini rupa restoran rekomendasi bandung awal datang layan bagus bagus layan itu pandang sini kece banget makan juga enak sesal deh datang sini,positive
140,dasar gubernur mutu pecat dari gubernur,negative
141,keren sekali tempat benar benar sesuai nama the 18th restoran lounge nyaman sekali tempat cocok banget buat makan sama keluarga rata rata ke sini sama pasang sih sama kelurga lebih asyik kok layan baik banget ramah untuk harga makan juga standar kok,positive
142,makan siang muas menu buffet sistem rasa enak saji uni cara nikmat dengan makan langsung alas daun pisang sensasional coba menu tutut masak kuning jengkol crispy it si incredible but quite enak rekomendasi,positive
143,mantap sekali ambo kue lembut legit kuah banyak lokasi tempat batas sini jual makan seperti nasi tim ayam enak,positive
144,orang teman ajak hang out sore sayang tempat parkir muat lebih 5 mobil jadi susah lumayan habis waktu lama untuk cari tempat parkir,positive
145,makan enak variasi makan lumayan banyak buka malam cocok yang cari makan malam hari,positive
146,auto mual mie lembek molor hancur cuek,negative
147,kubu djarot klaim unggul real count,neutral
148,tahu cap cay kangkung lumayan kepiting saus padang kecewa kasih kepiting kopong akhir tidak makan kepting dan,negative
149,ricuh jadi ujung debat pilihan gubernur jabar 14 mei 2018 lalu timbul silang dari kontestan debat,neutral
150,yamien manis mirip banget mi nursijan asli sekarang tidak lagi sih angka sudah almarhum nasi goreng juga rekomendasi,positive
151,makin sedikit engkau bicara kualitas mu makin orang ikhlas harga hebat mu,positive
152,paket murah timpal banget aku pakai unlimited 60k sinyal bagus streaming terus terus meski sup turun tetap internetan kuatir kuota habis perlu merek merek kuota tidak sesal beli,positive
153,poor dulu waktu makan sana interior bagus parkir susah rasa makan semua manis masuk sayur asem,negative
154,turut susilo bambang yudhoyono pilih pilihan kepala daerah sosok bukan partai politik,neutral
155,warga bandung senang nikmat kuliner bandung tahu restoran satu sejak kecil orang tua kerap bawa untuk nikmat sate satu ukur yang cukup besar bumbu kacang yang khas selalu paksa untuk lagi restoran bagi yang pernah coba nya saya sangat rekomendasi restoran,positive
156,tempat nyaman retro menu andal adalah grill saya pesan nasi goreng sea food rasa enak,positive
157,sesal beli first press regular isi photobooka alur jodoh,negative
158,tidak suka beliau jokowi masih jadi presiden,negative
159,percaya masyarakat indonesia karang bapak polisi hormat yang kata sudah temu motor sila nilai arang bawah dapat nilai berapa,negative
160,angka satu anggap jadi bawa hoki pilihan kepala daerah jawa,neutral
161,bakal salah kalau pesan jus stroberi nasi liwet sama sop buntut cek out their butik vila cocok buat mau relaxing hari pinggir kolam buku ipad surga,positive
162,meski asal pekanbaru jika bicara masakan padang tetap lebih enak sana masakan padang jakarta banyak masakan padang sini modifikasi lidah masyarakat sini jadi meski dekat kantor rumah makan padang rasa lumayan tetap bisa puas rasa rindu cita rasa asli padang kok lebih hehe,negative
163,temu anies sandi sudirman said bahas final tim gubernur mantan ketua tim sinkronisasi anies sandi sudirman said sambang balai kota bahas final tim gubernur anies baswedan,neutral
164,orang orang partai keadilan sejahtera sangat kualitas hingga kampanye negatif perintah,negative
165,kampung daun milik suasana nyaman gunung makan siang makan malam kampung daun sangat romantis tani gemericik air suasana hijau cuaca sejuk makan khas sunda indonesia itu ada makan luar steak ingin cicip menu istimewa nasi timbel nasi campur sunda sangat cocok di sini makan serabi tani minum bajigur tambah hangat suasana,positive
166,jokowi suka sebar isu bohong,positive
167,cinta banget sama produk negeri keren modis kualitas jangkau,positive
168,turut black black keren pakai buat olahraga aktivitas mantap,positive
169,terima kasih atas jasa saya sangat puas layan sangat baik ramah damping juga keren senang,positive
170,orang papua memang biadab lebih baik bom ada bikin kacau susah orang,negative
171,nongkrong cantik memang enak sini tempat luas suasana oke kemarin tidak coba kopi kita pesan goulash soup salmon steak chicken steak goulash enak steak not jadi sangat rasa harga agak mahal situ dapat lebih enak di tempat but cara seluruh baik oke buat nongkrong minum kopi meter,positive
172,warung roti letak daerah gardu jati sedia aneka roti bakar baik porsi kecil maupun besar pisang bakar bubur ayam lengkap menu bubur ayam kampung sangat gurih goda patut coba,positive
173,steak sudah puluh tahun bandung sudah sangat sohor zaman sampai tiap bandung kalau mau steak luncur sini stand pertama banget saya tahu itu jalan setiabudi suis butcher steak house setiabudi jalan setiabudi no 174 bandung 40141 telepon 022 2033172 fax 022 2038829 steak enak banget,positive
174,di setiabudi banyak sekali resto kafe nah kali kami coba tempat hitam romantiuc coba iga konro banyak menu masakan westrn indonesia asia lain harga murah dan pasti jangkau sekali untuk anak anak muda,positive
175,dulu enak sekali sekarang rasa biasa mungkin selera yang terus ubah tempat tahan tradisi layan suasa restoran masih sama dahulu jaga bisa terus tingkat tidak tinggal zaman,negative
176,kalau bandung selalu mampir lomie karuhun lokasi strategis pinggir jalan pasir kaliki rasa enak kuah kental jangan lupa pakai sambal jeruk harga tidak terlalu mahal top,positive
177,restoran punya pemadnagan sangat indah penat meja makan sungguh beranta timbul kesan restoran biasa bukan tara kafe lounge harga standar rasa standar,positive
178,rupa salah satu mi legendaris bandung tap tidak banyak alami ubah saat dengan bangun tua rumah biasa suka mi yamin asin mie lembut seperti home buat kuah kaldu gurih,positive
179,minimal mohon bantu order belum ambil berng oleh driver gojek status sudah proses antar,neutral
180,kagum,positive
181,hebat,negative
182,tiap kali bandung tak lupa mampir tempat steak enak empuk murah rasa original lidah indonesia coba tenderloin steak potato ala suis jamin tagih,positive
183,beli cimory indomaret tau sudah lewat masa kadaluarsa tiga hari kacau,negative
184,negara khilafah boleh beda semua salat bunuh dulu belum bunuh,negative
185,ke sini sama istri anak ke sini gara gara lihat ulas inet tempat jalan riau persis bahan sama outlet cascade heritage dekorasi buat homy tempat duduk luas jarak antar meja jauh nyaman obrol tertawa tertawa ada protes memang di sini khas adalah coffee and cake,positive
186,tempat lumayan romantis kalau bawa pasang betul pas sana malam hari gerimis jadi pandang bawah kurang oke sayang banget padahal siap siap bawa kamera seragam layan harus ganti deh pikir security nyata layan ronde enak pesan satu makan tapi lupa order ke dapur,positive
187,susah sama orang primitif tolikara papua bodoh orang salat id malah bubar sih hitam tolol tolikara,negative
188,dulu kaum babi sebut ketua komisi nasional ham natalia pigai bagai monyet manusia hitam gara gara bela habib rizieq nah sekarang komisi nasional serang fahri hamzah kaum babi malah muji muji komisi nasional ham dasar jilat,negative
189,partai demokrasi indonesia perjuangan partai paling korup bisa percaya,negative
190,usah bingung ragu gabung adalah pilih tepat ada banyak manfaat dapat,positive
191,barang harus sayang kok sasar jauh papua modus tipu,negative
192,prediksi persija jakarta lawan psis semarang 18 september 2018,neutral
193,letak daerah atas jadi tempat agak dingin pandang bagus unjung nikmat galeri kayu ukir foto foto sana tempat luas nyaman sana hanya pesan minum hot chocolate hazelnut cokelat cukup pekat enak rekomendasi pasang ingin suasana romantis,positive
194,kasihan padahal kalau ada polling denny siregar cebong girang sekali sayang pupus kalah telak jokowi polling denny,negative
195,tempat makan sahabat dompet tempat makan sedia bagai masakan sunda suasana tempat makan kental adat sunda kunjung waktu makan siang saat makan siang orang orang nanti makan tempat rasa makan pas lidah harga sahabat mungkin buat tempat makan satu ramai kunjung unjung,positive
196,jauh mata pandang flash sale yang paling enak,positive
197,pertama kali aku yang nama bb cream concealer umur umur pernah pakai di honetsly nyata aku jatuh cinta sama bb cream pixy 4 cantik benefits bagus banget,positive
198,sedang bandung ingin cicip tempat bagai jenis makan bisa coba datang sini banyak stand makan sedia mungkin anda akan bingung pilih makan apa harga saya rasa jangkau jangan lupa bawa payung kalau hujan tidak basah tempat parkir stand makan cukup jauh,positive
199,pilih restoran menu menu makan indonesia maupun eropa harga jangkau porsi kenyang saat tentu misal malam minggu untuk buka puasa baik datang lebih awal meja banding balik jumlah konsumen datang,positive
200,roti enak banget dengan ice cream sangat enak lokasi jalan braga tempat nyaman asyik buat hang out sama teman kolega rekomendasi banget,positive
201,allah sadis pak anies dibeginikan pak anies jabat negara tuan rumah jakarta sadis biadab rezim sekarang jangan pilih partai demokrasi indonesia perjuangan partai dukung nista agama,negative
202,libur bandung memang bakal jauh jauh nama kuliner henti pertama adalah bakso boedjangan benar juga area kelapa gading jakarta cuma rasa kurang kalau bandung tidak seba yang di sini hehe saya sini masih jam jam sarap jadi tempat belum terlalu ramai kita langsung duduk,positive
203,kok biar bangun atas sungai jalan rshs mnj pasar ciroyom cc aneh,negative
204,ajak sini teman sedang kuliah bandung pertama ajak kira cabe rawit ada dekat unpar nyata jauh beda tempat letak sangat strategis dekat jalan dago milik pilih menu yang cukup banyak suasana sendiri sangat nyaman dukung duduk lama obrol makan minum kualitas makan minum pun rasa enak,positive
205,sangat suka minum sini merah riah rasa enak rasa manis pas sekali aneka ragam jenis minum favorit masih tetap es teh manis mungkin lidah terlalu kampungan kali hehe,positive
206,bakar hutan sumbing luas,neutral
207,mal lengkap nikmat sama keluarga banyak sedia gerai gerai pakai bermerk makan area main ice skating,positive
208,tempat tipikal kafe jakarta dominan kayu oke tempat nongkrong makan mes pasta aglio olio rasa standard,positive
209,takut,negative
210,film action jamin bosan hyung,positive
211,komikus bayar bukan sih perlu politik 2019,negative
212,bikin sanpachi di mayfair building beda ada menu daging babi semua sanpachi sedia menu sebut harga tidak bisa kata murah banding rasa suasana yang enak,positive
213,pilih es krim rhum enggak malu ingin rasa sensasi hangat aroma rhum sayang kandung alcohol tempat nyaman duduk duduk sambal sekadar minum the layan pun ramah sigap ini salah satu resto tua bandung jadi banyak sekali turis turis bule tua mampir sini mungkin dulu masa muda sering sini,positive
214,sudah registrasi tidak sms 51,neutral
215,rumah makan sari raos tempat bersih nyaman milik layan baik staf ramah ramah khas orang sunda menu makan cukup variatif masakan ala khas sunda cita rasa enak harga jangkau,positive
216,wifi sini selalu eror makan minum mahal lumpiah goreng asin sekali teh susu sedikit enak lama sekali pesan,negative
217,biasa coba makan bento porsi cukup banyak pilih bento cukup agam mulai salmon ayam daging sapi hidang tutup biasa pesan es strawberry,positive
